序号,名称,简介,网址
1,AcFun,AcFun是一家弹幕视频网站，致力于为每一个人带来欢乐。,http://www.acfun.cn/ 
2,Bilibili,bilibili是国内知名的视频弹幕网站，这里有最及时的动漫新番，最棒的ACG氛围，最有创意的Up主。大家可以在这里找到许多欢乐.,https://www.bilibili.com/ 
3,腾讯视频,腾讯视频电影频道_全球正版高清电影在线观看,http://v.qq.com/movie/ 
4,优酷视频,"优酷-这世界很酷,视频服务平台,提供视频播放,视频发布,视频搜索,视频分享。",http://www.youku.com/ 
5,爱奇艺,爱奇艺电影频道拥有大量高清在线电影资源，热门高清电影、好评电影、电影预告在线观看。包含国产电影、韩国电影、日本电影、美国电影、欧洲电影、印度电影、泰国电影。电影类型有戏剧电影、科幻电影、爱情片、动作片、枪战片、谍战片、悬疑、恐怖片、魔幻、犯罪、惊辣、奇幻、战斗片、青春、坚挺伦理等。有免费电影和付费电影可供选择，在线高清电影下载。,http://www.iqiyi.com/dianying/ 
6,芒果TV,全网唯一签约美国六大电影公司，不买爆款，因为Level够高，不追热门，不代表肚里没货。提供高逼格“解药”，只想跟装逼的世界谈一谈：“没看过芒果TV电影频道，请不要装逼。,https://www.mgtv.com/movie/ 
7,搜狐视频,"搜狐视频电影频道,提供正版高清电影在线观看,包括各类最新最热华语电影、好莱坞电影、日韩电影和欧洲电影。",http://tv.sohu.com/movie/ 
8,风行网,"新一代视频风行网,提供免费电影、电视剧、综艺、动漫、体育等视频内容的在线观看和下载.累积7亿用户的全平台,为传媒机构和品牌客户开设了官方视频服务账号,通过大数据分析与个性推荐订阅技术,实现海量独家内容与用户个性需求即时匹配",http://www.fun.tv/ 
9,PP视频,PP视频电影频道，炫目科幻大片，恐怖惊悚悬疑，轻松幽默喜剧，高智商犯罪电影，上万部高清电影供您免费在线观看，每日更新不间断，免费付费院线任性看。PP视频一起玩出精彩,http://movie.pptv.com/ 
10,天天看看,天天看看是一个综合高清影视视频平台，免费提供电影、电视剧、综艺、音乐MV、动漫、新片、大片的高清在线点播和下载,http://www.kankan.com/ 
11,暴风影音,暴风影音致力打造大型互联网视频播放平台，集在线视频和本地播放服务于一体，是专注提供免费、高清网络视频服务的大型视频网站。在暴风影音您可以找到新的、热门的互联网视频。,http://www.baofeng.com/ 
12,土豆网,土豆 - 召唤全球有趣短视频，全球领先短视频平台，海外同步，全程高能，海量娱乐搞笑，潮流生活时尚，弹幕上玩表情，兴趣精准推送。,http://www.tudou.com/ 
13,华数TV,华数TV全网影视-超新超全超热门电影电视剧综艺动漫直播在线观看,https://www.wasu.cn/ 
14,乐视视频,乐视视频 - 乐视旗下专业的影视剧视频网站_高清视频在线观看,http://www.le.com/ 
15,1905,高清影院-最新电影-好看的电影-在线观看-电影网,http://www.1905.com/vod/ 
16,七年影视,"七年影视免费为广大网友提供电影电视剧,动漫,综艺等节目的在线观看和下载服务",http://www.qinian.cc/ 
17,100视频,"100视频为您提供最新好看的电视剧、电影、动漫、综艺节目在线观看迅雷下载等,影视爱好者们的电影天堂",https://www.100sp.com/ 
18,巴士动漫,"巴士动漫电影网 - 最新最火的视频短片,电影,电视剧在线无广告收看,微拍福利视频,找福利,微拍广场,宅男福利,海量在线福利视频下载",http://www.84dm.com 
19,Q2电影,"Q2电影 - 最新最火的视频短片,电影,电视剧在线无广告收看,微拍福利视频,找福利,微拍广场,宅男福利,海量在线福利视频下载。",http://www.q2002.com 
20,NO视频,NOVIPNOAD为用户提供及时的海外热门剧集在线观看，24小时多平台同步，友好无广告，致力于最轻松的追剧体验,http://www.novipnoad.com/ 
21,CK免费电影网,CK免费电影网_2018最新电视剧电影在线观看,http://www.ckck.vip/ 
22,悠久影院,高清电影_最新大片_高清影院_高清在线影院_最新的电影大片_悠久影院,https://www.eqq9.com/ 
23,窝窝电影,更新最快最好看的电影电视剧免费在线观看,https://www.55evd.com/ 
24,特视网,"看电影的好网站,免费电影在线观看 - 特视网",https://www.teshiw.com/ 
25,7E电影网,7E电影网在线高速云播,http://www.7edyw.com/ 
26,酷绘视频,酷绘视频 - 在线视频播放平台,http://www.kuhuiv.com/ 
27,OK资源网,电影天堂_免费电影_OK资源网,http://www.2w2w.tv/ 
28,K7影视,K7影视-yy4480新热播影院-yy4480首播影院,http://k7.cm/
29,思古影视,思古影视-免VIP抢先观看最新好看的电影和电视剧,http://v.sigu.me/ 
30,嗨哆咪影视,"嗨哆咪影视-免VIP在线看会员电影,电视剧,综艺,动漫的网站",http://haiduomi.com/ 
31,在线之家,在线之家 - 在线观看最新美剧|最新韩剧|天天美剧|人人美剧,http://www.zxzjs.com/ 
32,去看TV网,去看TV_看看屋_2018最新电影_全看网_高清影视剧在线观看 - 去看TV,http://www.qukantv.net/ 
33,琪琪影院,琪琪电影帝-琪琪影院|最新好看的电影|免费在线电影|琪琪电影网,http://www.77dyd.cc/ 
34,80神马影院,"80影院-神马影院,80电影天堂",http://www.77dyw.vip/ 
